"obviously one of the most important features of any computer is the ""human interface.",human interface,0
good for every day computing and web browsing.,every day computing,1
while the keyboard itself is alright[comma] the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.,mouse command buttons,-1
again[comma] the same problem[comma] the right speaker did not work.,right speaker,-1
my problem was with dell customer service.,dell customer service,-1
is this partially due to the fact that it is running windows vista?,windows vista,0
accordingly[comma] i have decided to never purchase another hp product (my five year old compaq) lasted 5-years before the hard drive crashed.,hard drive,-1
i did think it had a camera because that was one of my requirements[comma] but forgot to check in the specifications on this one before i purchased.,specifications,0
cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,setup,-1
the most recent being that my safari internet browser is freaking out on me[comma] but i have just been using firefox instead.,safari internet browser,-1
my last computer[comma] a toshiba[comma] cost only $400[comma] and worked like a charm for many years.,cost,1
the machine has a bluray player the book has no mention of it or how to connect it to your hdtv.,bluray player,0
the touchpad is very intuitive[comma] so much so that i never want to use buttons to click again!,touchpad,1
i bought this laptop because of the performance to price ratio.,price,1
great laptop for the price[comma] works well with action pack games.,works,1
the battery is really long.,battery,1
i had something else go wrong and they said it had to be in good working order to be able to buy the warranty.,warranty,-1
_ the battery never held a charge longer than one hour and within two months[comma] stopped holding a charge for more than ten minutes.,charge,-1
web access through the 3g network is so slow[comma] it's very frustrating and very disappointing.,3g network,-1
everything about a mac is wonderful[comma] it takes a little used to learning and getting used to the new system[comma] but you will learn fast and its all worth it.,system,0
the screen is bright and the keyboard is nice;,screen,1
_ after that the said it was under warranty.,warranty,0
hard disk - the new editions gives you more hard disk space (500gb instead of 320gb) but time has taught me never to trust an internal hard disk.,internal hard disk,0
the only down fall is that it has no cd drive but i found that they are very cheap to by and also very portable making this the best friend to someone who is always looking for more space then they have.,cd drive,-1
when we bought our new hp comouter in dec. of 2008[comma] we wanted windows xp[comma] but were told it would cost an extra $159[comma] so we went with vista.,vista,0
but now i have realized its a problem with this brand.,brand,-1
the computer was two weeks late in delivery because hp forgot to complete the required import paperwork.,delivery,-1
i'm tired of the inept service.,service,-1
great pick for portability and affordability.,affordability,1
after way too many times sending the thing in for repairs (delivery service was slow[comma] and without the laptop i had no access to the internet[comma] and thus no way of tracking it to find out when i might hope to see my computer again)[comma] it finally kicked the bucket after just over 2 years.,delivery service,-1
it has far exceeded my expectations for power[comma] storage[comma] and abilitiy.,power,1
another included program that is laughable is the chess game.,included program,-1
it seems they could have updated xp and done without creating vista.,vista,-1
then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running.,charger,-1
even out of warranty!,warranty,0
the macbook is also made better[comma] my computer has never got a virus[comma] and the laptop runs just as fast as the first day i bought it.,runs,1
the dvd burner broke after burning 3 dvd'd during that time!,dvd burner,-1
_ we have had numerous problems with vista[comma] such as adobe flash player just quits and has to be uninstalled and then reinsalled[comma] internet explore just quits and you lose whatever you were working on[comma] also[comma] the same windows update has appeared on this computer since we got it and has been updated probably 400 times[comma] the same update.,windows update,-1
the keyboard is slick and quiet and not bulky like some other laptops i have had in the past.,keyboard,1
the processor is very quick and effective as i load webpages and applications.,webpages,0
now i have the best of both worlds with all of the power and ease of the mac!,power,1
the display is beyond horrible.,display,-1
it's so much easier to navigate through the operating system[comma] to find files[comma] and it runs a lot faster!,navigate,1
and if you do a lot of writing[comma] editing is a problem since there is no  forward delete  key.,delete  key,-1
_ this time the mouse pad and right click key wouldn't work!,mouse pad,-1
so i called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all[comma] i just chose to hide the message.,performance,0
seems to slow down occassionally but can run many applications (ie internet tabs[comma] programs[comma] etc) simultaneously.,applications,1
we figure that after everything his pc actually ended up costing $350 more than my original mac.,costing,-1
i am using the external speaker- sound is good.,sound,1
the display on this computer is the best i've seen in a very long time[comma] the battery life is very long and very convienent.,display,1
i was disappointed when i realized that the keyboard doesn't light up on this model.,keyboard,-1
the graphics are awful and the wireless switch it at the top rather than the side which i am used to it being on the side.,graphics,-1
the battery life is also relatively good.,battery life,1
the price and features more than met my needs.,price,1
it made the computer much easier to use and navigate.,use,1
i bought a cordless mouse for it[comma] but don't always take it out;,cordless mouse,1
company provides ups shipping[comma] fast[comma] great!,shipping,1
a second problem involves the battery which is advertised as having a storage life of 11 hours but when fully charged shows only 7 hours of service.,service,-1
i do not experience a lot of heat coming out of it[comma] however i would highly suggest purchasing a stand however[comma] due to the nature of the design of the macbook as it is one very large heat sink.,stand,0
